,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
234,"33,850.0","44,700.0","57,300.0","34,600.0","92,200.0","117,000.0","33,600","29,500.0","47,050.0","54,000.0","32,650.0","163,300","134,000","78,500","91,200.0","59,800.0","107,000.0","18,550.0","169,400","45,200.0","33,350.0","51,600.0","40,800.0","87,200","79,700","82,200","149,000","80,600.0","35,900.0","33,600.0"
235,"34,400.0","45,250.0","57,200.0","34,400.0","93,500.0","115,800.0","34,600","29,600.0","46,650.0","54,200.0","32,650.0","160,300","133,900","78,500","91,200.0","59,900.0","106,500.0","18,400.0","169,600","46,000.0","33,200.0","51,500.0","40,900.0","87,400","80,000","83,600","146,000","81,000.0","35,900.0","34,100.0"
236,"34,700.0","46,000.0","56,300.0","34,600.0","92,900.0","116,500.0","34,250","29,550.0","46,400.0","53,900.0","34,400.0","157,500","137,700","78,100","89,800.0","62,000.0","110,000.0","17,800.0","168,400","45,000.0","33,700.0","51,400.0","41,500.0","86,800","79,300","82,000","142,800","80,000.0","35,550.0","34,500.0"
237,"34,600.0","45,600.0","57,600.0","34,850.0","93,000.0","117,000.0","34,250","29,650.0","46,700.0","54,100.0","34,350.0","157,200","137,800","77,400","90,000.0","62,500.0","109,600.0","18,150.0","169,800","45,300.0","33,600.0","51,700.0","42,600.0","86,900","79,400","82,500","148,200","80,000.0","35,900.0","34,900.0"
238,"34,450.0","44,600.0","59,000.0","33,850.0","92,000.0","119,000.0","33,700","28,800.0","46,000.0","52,800.0","34,000.0","159,500","136,800","76,000","88,600.0","63,400.0","109,000.0","17,750.0","169,700","44,600.0","32,900.0","50,500.0","41,250.0","85,300","78,600","80,100","148,000","78,600.0","36,900.0","34,000.0"
239,"34,350.0","44,550.0","59,000.0","33,850.0","92,300.0","117,200.0","34,000","29,250.0","45,900.0","53,300.0","34,100.0","158,000","137,600","76,300","87,500.0","62,400.0","107,800.0","17,850.0","169,600","45,700.0","33,000.0","50,700.0","41,950.0","85,100","78,300","79,100","145,100","78,900.0","38,200.0","34,000.0"
240,"33,900.0","43,700.0","59,100.0","33,150.0","93,300.0","118,000.0","34,150","28,800.0","47,200.0","52,900.0","34,400.0","156,000","136,000","75,300","85,000.0","62,300.0","103,000.0","17,350.0","169,800","45,700.0","32,850.0","50,400.0","42,250.0","84,500","77,500","77,000","140,100","78,400.0","38,000.0","33,500.0"
241,"33,850.0","44,100.0","59,800.0","33,300.0","93,400.0","117,700.0","35,700","28,550.0","46,900.0","54,100.0","34,000.0","156,500","136,000","75,400","84,500.0","61,300.0","105,000.0","17,450.0","168,000","46,000.0","32,650.0","50,300.0","42,800.0","85,000","78,000","79,200","140,900","79,200.0","37,750.0","33,500.0"
242,"32,900.0","42,450.0","59,000.0","32,000.0","93,100.0","119,200.0","35,400","27,350.0","46,900.0","53,700.0","32,500.0","157,000","134,500","76,400","87,200.0","61,500.0","103,400.0","17,450.0","169,000","44,800.0","31,250.0","49,200.0","41,450.0","85,000","77,500","78,900","145,000","78,500.0","36,500.0","32,800.0"
243,"33,450.0","42,800.0","59,000.0","32,600.0","93,400.0","120,700.0","36,300","28,250.0","50,100.0","54,600.0","33,100.0","159,100","136,500","78,000","88,000.0","62,800.0","104,000.0","17,200.0","167,100","45,500.0","31,850.0","49,650.0","41,500.0","85,500","78,000","79,000","143,400","78,400.0","37,450.0","32,700.0"
244,"34,300.0","43,300.0","59,700.0","32,750.0","93,500.0","118,000.0","36,000","28,000.0","49,800.0","54,600.0","32,900.0","161,300","135,800","77,000","90,500.0","61,100.0","106,200.0","17,300.0","160,000","46,600.0","32,000.0","49,950.0","40,750.0","84,900","77,900","79,000","139,400","77,900.0","38,100.0","33,750.0"
245,"33,250.0","42,250.0","58,900.0","32,150.0","93,800.0","124,600.0","36,750","27,400.0","51,100.0","53,800.0","32,200.0","158,200","134,200","76,000","89,500.0","63,300.0","108,000.0","17,050.0","154,600","46,800.0","31,500.0","49,250.0","39,000.0","84,900","76,200","78,500","134,200","76,800.0","37,700.0","32,900.0"
246,"32,600.0","41,600.0","58,400.0","32,050.0","94,800.0","120,700.0","36,300","27,350.0","49,450.0","52,100.0","31,000.0","158,800","134,200","76,000","87,100.0","61,300.0","106,000.0","17,200.0","155,600","47,000.0","30,850.0","49,000.0","38,800.0","81,500","74,600","77,900","137,000","76,100.0","37,000.0","32,500.0"
247,"32,700.0","40,500.0","56,400.0","32,000.0","95,500.0","122,200.0","36,000","27,000.0","49,850.0","51,200.0","30,750.0","155,500","133,800","76,500","88,000.0","63,000.0","110,500.0","16,750.0","155,000","46,600.0","31,100.0","49,100.0","38,800.0","83,000","74,000","78,000","140,000","75,100.0","36,850.0","31,600.0"
248,"32,900.0","40,950.0","57,400.0","32,100.0","94,600.0","118,500.0","35,550","26,950.0","49,150.0","51,500.0","31,050.0","150,000","133,500","77,000","88,100.0","61,300.0","108,300.0","16,600.0","157,000","46,600.0","31,550.0","49,250.0","39,000.0","83,500","75,200","79,100","139,000","77,100.0","36,750.0","32,000.0"
249,"32,700.0","41,850.0","57,000.0","32,250.0","93,200.0","112,900.0","34,500","27,300.0","47,600.0","51,000.0","31,450.0","142,500","133,000","77,200","87,700.0","58,000.0","104,500.0","16,150.0","154,000","45,000.0","32,050.0","48,900.0","38,650.0","83,800","75,000","79,000","138,500","78,000.0","36,400.0","31,850.0"
